Código del libro,Titulo,Autor,Año de publicación,DOI_Original,Editorial,Abstract,Keywords,BISAC Catálogo,Thema Catálogo,Clasificación Dewey,"Institución coeditora (separar cada institución con "";"")",Idioma,OpenAlex_ID,OpenAlex_Title,OpenAlex_Author,OpenAlex_Concepts,OpenAlex_Citations,OpenAlex_Similarity,Metodo_Match,Area_Conocimiento,Titulos_Editorial_Area,W_Editorial,W_Citas
DJS0030,ADDICTED TO PUNISHMENT: THE DISPROPORTIONALITY OF DRUG LAWS IN LATIN AMERICA,Diana Esther Guzmán,2013,,Dejusticia,"In Latin America, trafficking cocaine so it can be sold to someone who wants to use it is more serious than raping a woman or deliberately killing your neighbor. While it may seem incredible, that is the conclusion of a rigorous study of the evolution of criminal legislation in the region, which shows that countries' judicial systems mete out harsher penalties for trafficking even modest amounts of drugs than for acts as heinous as sexual assault or murder.

How have we reached such an unjust and irrational point? In recent decades, especially the 1980s, Latin American countries, influenced by an international prohibitionist model, fell – ironically – into what we might metaphorically call an addiction to punishment. Addiction creates the need to consume more and more drugs, which have less and less effect; ultimately, the problematic user simply consumes drugs to avoid withdrawal. Drug legislation in Latin America seems to have followed a similar path. Countries have an ever-growing need to add crimes and increase the penalties for drug trafficking, supposedly to control an ex- panding illegal market, while this increasingly punitive approach has less and less effect on decreasing the supply and use of illegal drugs.

So just as the problematic drug user faced with the declining effects of the drug automatically increases the frequency and amount consumed, public officials, seeing the scant impact of growing punitive repression, increase the dose and frequency. And our countries become addicted to punishment, which explains the disproportionate laws that are discussed and documented in this paper. Over the past 60 years, this evolution has taken place within the context of the so-called war on drugs. The dominant worldwide policy on illegal drugs has been their prohibition, an approach characterized by the use of criminal law as the basic tool for combating all phases of the business (cultivation, production, distribution and trafficking), and in some cases even drug use. With some nuances and significant variation, the legislation in every country in the world contains criminal provisions calling for imprisonment for the distribution and trafficking of controlled substances.",Derecho; Política antidrogas; Tráfico de drogas; Criminalización; Sistema penal; Colombia,[LAW118000] LEY > Drogas y la ley,JKVG,,,Inglés,,,,,0,0.0,No Encontrado,LEY,51.0,1.3951243718581428,0.0
DJS0031,STRATEGIC LITIGATION MANUAL FROM THEORY TO PRACTICE LESSONS FROM COLOMBIA AND LIBANON,Maryluz Barragán,2020,,Dejusticia,"Strategic Litigation Manual: From Theory to Practice, Lessons from Colombia and Lebanon aims to address every step of the process of strategic litigation. The first part discusses how to select a strategic case and its components; followed by part two, which provides practical insights on the litigation itself; and the part three explores the post-decision phase. In that sense, the manual contains ten key steps that should be developed in a human rights litigation strategy. These steps include identifying the injustice to be remedied, envisioning the goal, developing a legal strategy, selecting the parties, assessing risks and resources, collecting evidence, developing legal arguments, building an outreach strategy, ensuring that a win is effective or investing in a loss and, learning and retooling. The manual presents a theoretical conception of each of these steps, followed by an illustration of real case examples gathered from the litigation experience of Dejusticia and The Legal Agenda, allowing the reader to understand strategic litigation in theory and practice. This model is not meant to be prescriptive and it is based in our practice on litigation. It is intended to be used as a toolkit to be improved upon with lessons learned from every case. As learning is a key pillar of this model, we encourage readers to retool the model and keep improving it with each new case they pursue.",Derecho ;  Strategic litigation;  human rights; advocacy;  social problem;  significant impact; Colombia,[LAW026000] LEY > Derecho penal > General,LNF,,,Inglés,,,,,0,0.0,No Encontrado,LEY,51.0,1.3951243718581428,0.0
DJS0047,MIGRATION AND DECENT WORK,Lina Arroyave Velásquez,2022,,Dejusticia,"Migration and Decent Work: Challenges for the Global South takes a journey through nine countries in the global South—from Mexico to India to Argentina to Turkey—to explore the relationship between migration and work from a human rights perspective.
Labor insertion is one of the most effective forms of integration because it allows migrants and refugees to enjoy more dignified living conditions, to contribute to the development of host communities, and to build relationships with the local population. But ensuring the right to work is a challenge for countries in the global South that have weak or developing economies and problems with job creation, which can force many people—not just migrants—to engage in precarious work and put themselves at risk of labor exploitation.
Under these circumstances, advocating for migrants' and refugees' right to work is more urgent than ever. The recognition of decent work as a human right means that states may not pursue economic growth at the expense of the exploitation of migrants and refugees, but instead must seek to ensure opportunities and prosperity for all. In this regard, it is critical to foster discussions, such as the ones featured in this book, that facilitate the sharing of experiences and lessons learned on the labor conditions of migrants and refugees.
The authors of the nine chapters in Migration and Decent Work are activists, academics, and members of civil society who have worked on the issue of migration from different angles and who address the challenge of migrants' labor inclusion from an interdisciplinary and rights-based perspective. Their contributions offer an overview of migrants' and refugees' right to work in a range of countries in the global South based on an analysis of local contexts, public policies, and the everyday realities faced by these workers.
In addition to offering local and global recommendations for ensuring the right to decent work for migrants and refugees, this book seeks to strengthen the human rights movement through collaboration and the sharing of experiences. The diversity of voices featured here offers a look at migration based on and intended for the global South.
La diversidad de voces que reúne ofrece una mirada de la migración desde y para el Sur Global",Derecho ;  Migration;  work;  right to work;  global South;  refugees; Colombia,"[LAW054000] LEY > Trabajo y empleo
",LNH,,,Inglés,,,,,0,0.0,No Encontrado,LEY,51.0,1.3951243718581428,0.0
DJS0048,SARAYAKU BEFORE THE INTER-AMERICAN HUMAN RIGHTS SYSTEM,Mario Melo Cevallos,2019,,Dejusticia,"How was it possible for an indigenous people in the middle of the Amazon to protect their life and territory from oil exploitation? What was the response of the Government of Ecuador to the claims of the Sarayaku people? How is a human rights strategy developed at different geographical levels? In this text, Mario Melo Cevallos, lawyer of the Kichwa people of Sarayaku, addresses these questions by presenting his version of the history of resistance and mobilization of the indigenous people before the State plans to exploit the oil that was in the heart of the Amazon. From the jungle, through the national courts, to the inter-American human rights system, the author shows the different sources of political and legal mobilization used by the people. Based on the work of more than a decade that Melo has done with the descendants of the jaguar, the book combines anecdotal references with judicial decisions and social mobilizations to show the story behind one of the most important sentences of the Inter-American Court of Human Rights. Undoubtedly, the case of the Sarayaku people is a symbol for the other indigenous peoples of the Global South. Your experience, we hope, will serve as an example for all indigenous peoples who mobilize against the expansion of the extractive border over their territories. Descripción tomada de: https://www.dejusticia.org/publication/the-sarayaku-and-the-inter-american-system-on-human-rights-justice-for-the-medio-dia-people-and-their-living-jungle/",Derecho; Sociología; Pueblos indígenas; Justicia internacional; Derechos humanos; Explotación de minerales; Grupos étnicos; Tenencia de tierras; Colombia,[LAW110000] LEY > Derecho indígena y sistemas legales,JPN,,,Inglés,https://openalex.org/W4399937571,Sarayaku before the Inter-American Human Rights System,Mario Melo,Political science,2,0.906896551724138,Solo Titulo,LEY,51.0,1.3951243718581428,0.5493061443340549
DJS0056,CIVIL RESISTANCE AGAINST 21ST CENTURY AUTHORITARIANISM,Sebastián Becker Castellaro,2021,,Dejusticia,"Populist authoritarian governments have jeopardized the human rights accomplishments of the 20th century. ensuring their fulfillment has become a challenge for these governments and an issue for human rights defenders seeking to find ways to resist anti-democratic actions.

This book seeks to expose the crisis of human rights at the hands of people who, despite rising to power through democratic means, now see democracy as a limiting institution that must be dismantled urgently. Restrictions on civil society and arbitrary detentions are some of the reasons why this populist and authoritarian vision is incompatible with human rights, which are guaranteed to some and denied to others.

Through various narratives, the authors seek to recognize new spaces for struggle—such as political activism—to develop action-research tools in a context of crisis.",Ciencia política; Derechos humanos; Populismo; Colombia,POL035010,LNDC,,,Inglés,https://openalex.org/W4399935245,Civil Resistance Against 21st Century Authoritarianism. Defending Human Rights in the Global South,Rajdeep Bose,Resistance (ecology); Human rights; Political science; Civil rights,1,0.5281376518218622,Solo Titulo,POL035010,4.0,1.16094379124341,0.3465735902799726
DJS0070,SUMMARY OF THE CEDD REGIONAL REPORT,Ernesto Cortés,2020,,Dejusticia,"This research analyzes how punitive drug laws disproportionately affect cannabis users, growers and small-scale sellers. This paper is based on the report, Cannabis in Latin America: The Green Wave and the Challenges to Regulation.",Derecho ;  Illicit drugs;  Drug traffickin; Legislation;  Cannabis;  Marijuana;  Marihuana; Colombia,[LAW118000] LEY > Drogas y la ley,JKVG,,,Inglés,https://openalex.org/W4399936192,Summary of the CEDD regional report,,,0,0.7,Solo Titulo,LEY,51.0,1.3951243718581428,0.0
DJS0071,RISING TO THE POPULIST CHALLENGE,Krizna Gomez,2018,,Dejusticia,"This book collects and analyzes a repertoire of responses by human rights organizations to the crackdown against civil society in the populist context. Written by scholars and advocates in challenging political settings from around the world, this book offers ideas and inspiration to their peers in the human rights community who are grappling with and resisting the erosion of democracy and rights.

This collection takes two steps towards clearing the path for this civil society transformation. First, it clarifies the specific challenges to human rights raised by contemporary populist regimes and movements. What is the populist playbook against human rights? Second, it contributes to documenting and learning from a wealth of initiatives by human rights actors. What innovations are human rights actors introducing into their strategies and narratives to counter those of populist regimes? In short, what is the human rights playbook against populism?

From meticulous documentation of abuses in Turkey to more grassroots forms of social networking in Hungary, from peace caravans in India to finding new ways of being useful under 21st century dictatorships in Venezuela, like war correspondents reporting from the trenches, our authors step forward to share their own continuing struggles to help their communities.

Based on evidence from populist governments in India, Venezuela, Hungary, Turkey, Russia, the United States, and Ecuador—as well as crackdowns against civil society in South Africa, Egypt and other countries—this volume provides hope, solidarity, and reinvigoration for the human rights movement.",Ciencias políticas; Government system; State relations; Populism; Democracy; Human rights; Colombia,POL011000,JPS,,,Inglés,https://openalex.org/W4399934977,Rising to the Populist Challenge,,Political science,11,0.7,Solo Titulo,POL011000,2.0,1.109861228866811,1.2424533248940002
DJS0088,TRANSNATIONAL ADVOCACY NETWORKS,César Augusto Garavito Rodríguez,2018,,Dejusticia,"Activists, particularly those based in the global South, have accumulated a wealth of experience in dealing with a range of transnational networks operating in diverse issue areas. New theoretical understandings have reflected this accumulating experience.

As the twentieth century came to a close, the practice of global and transnational politics was undergoing a sea change. Understandings of its dynamics were changing along with the practice. Classic paradigms of international relations, which had focused almost exclusively on relations among nation-states, were being expanded to consider the impact of transnational civil society organizations. Recognition of the role of new nonstate actors in global politics was epitomized by the impact of Margaret Keck and Kathryn Sikkink's Activists beyond Borders in 1998. Their framework is a foundational reference point for the analyses of recent and future trends that are set out in this book.

This volume brings together a set of ten essays by reflective activists who draw on their experience to provide new insights into what has been happening in the world of transnational advocacy, and by engaged academics who are committed to using the tools of their disciplines to contribute to the same agenda. The essays reflect not only the views of individual authors but also the collective dialogue among the authors at the workshop where the papers were originally presented in the spring of 2015.",Ciencias políticas; Sociología; Transitional justice; Human rights; Activism; Southern Hemisphere; International law; International policy; Networks; International law; International; Colombia,POL011000,JPS,,,Inglés,https://openalex.org/W2069178298,Transnational advocacy networks in international and regional politics,Margaret E. Keck,Politics; Citation; Library science; Media studies; Political science,985,0.5297029702970297,Solo Titulo,POL011000,2.0,1.109861228866811,3.4468281773013176
DJS0089,REIMAGINING THE FUTURE OF HUMAN RIGHTS SOCIAL JUSTICIE ENVIRONMENTAL JUSTICIE AND DEMOCRACY IN THE GLOBAL,Inglésis KöstepInglés,2022,,Dejusticia,"This book is the collective effort of participants from Dejusticia's annual Global Action-Research Workshop for Young Human Rights Advocates. The talented writers featured here are graduates from previous workshops who came together again in 2018 to explore the intersection between research and activism and what it holds for the future of human rights.

The authors in this book question traditional methods and explore new ways and visions of advancing human rights in the troubled context in which we live today. Do the struggles of small-scale miners in Ghana, the use of strategic litigation in Lebanon, and the recognition of the rights of nature in India represent evidence for hope? Or is the opposite true, and, as shown in the chapters on martial law in the Philippines, the treatment of wastewater in Argentina, and in the internal conflict in Yemen, human rights have failed to deliver on their promises?

Whatever the answer, Reimagining the Future of Human Rights invites us to reflect on the work of human rights in different contexts and the challenges that activists face, but also the progress they have made. The chapters in this book offer a snapshot of the current state of human rights that can help guide our work as activists and researchers.",Derecho ;  human rights;  global South; Democracy; Colombia,"[LAW051000] LEY > Internacional
",LBBR,,,Inglés,,,,,0,0.0,No Encontrado,LEY,51.0,1.3951243718581428,0.0
SAL0096,THEORY ON DC ELECTRIC (EXP) CIRCUITS,Alejandro Sánchez Salcedo,2016,,Universidad de la Salle,This book is intended as a major support for the DC Electric Circuits course from the Electrical engineering program and the Automation engineering program at Universidad de La Salle. Its main contribution is to provide the students with a step-by-step explanation and detailed illustrations about the main concepts and analysis techniques of DC electric circuits and their related measurement systems.,circuitos eléctricos; corriente continua; ingeniería eléctrica; colombia; Electric Circuits; Electrical engineering; Automation engineering; program,"[TEC000000] TECNOLOGÍA E INGENIERÍA > General
",TJF,,,Inglés,,,,,0,0.0,No Encontrado,TECNOLOGÍA E INGENIERÍA,22.0,1.3135494215929149,0.0
SAL0241,LIVING IN TRANSIT,Sebastián Alejandro González Montero,2023,,Universidad de la Salle,"Living in Transit: being in motion is an actual condition. Movement is real. Moreover, it is essential because it concerns kinetic events. We can insistently perceive that everything changes and moves. All living beings undergo experiences revealing flows, adaptations, and becomings.  Quotidian experiences testify to that. Directly or indirectly, we face reality's movements all the time. Atoms move. Planets move. Animals move. Rivers move. Trees move. Technology moves. Economy moves. The State moves. And people move. The ontological assertion that reality is all about beings in motion has an anthropological   side that must be considered. We indeed live in times highly defined by movement and change. As we have said, everything moves. It is inevitable to perceive and face movement and change. For that reason, it is essential to ethically assess our human role in changing living scenarios and dynamic beings.",Cambio social; ensayos; conferencias; Sociología de la educación; ensayos; conferencias - Filosofía; Ciencias sociales; ensayos; conferencias,[PHI035000] FILOSOFÍA > Ensayos,JNA,,,Inglés,,,,,0,0.0,No Encontrado,FILOSOFÍA,10.0,1.2397895272798372,0.0
SAL0242,10 IDACTIC ACTIVIVTIES FOR INTERMEDIATE ENGLISH CLASSES,ElInglésa Urrutia Sánchez,2013,,Universidad de la Salle,"This book has been created for both intermediate english students and their english teachers, who will be able to find a variety of activities to complement their english classes. Although this book has been particularly designed for Intermediate english levels and academic spaces at the Licenciatura en Lengua Castellana, en y Francés, such as Language and Communication I & II, Language Interaction and Anglophone Society I & II, and even Pedagogical Practicum and Formative Research, it can be adapted to several other levels of mastery of the language, as well as to a wide range of educational EFL (english as a Foreign Language) and ESL (english as a Second Language) settings, given the fact that the book's main aim is to provide students with the opportunity to take a prime role as the center of the leaming process of a rich experience of language in use (Krashen, 1989). Such goal can be achieved through didactic class tasks that can ignite the thirst for communicating in english in order to consolidate the concepts already learned in class and, beyond that, by letting go of any fear and anxiety to 'function' well-or 'accurately'-in english class, and sharing their own background knowledge and their own 'self' towards the construction of new ways of thinking and seeing the world that surrounds them within an educational framework.",english classes; EFL; ESL,"[FOR007000] ESTUDIO DE IDIOMA EXTRANJERO > Inglés como Segunda Lengua
",JN,,,Inglés,,,,,0,0.0,No Encontrado,ESTUDIO DE IDIOMA EXTRANJERO,1.0,1.0693147180559943,0.0
TI00001,30 Years of Innovation with Digital Distance Experiences,Elsa Beatriz Palacios Corral,2024,,Tecnológico de Monterrey,"In 2019, Tecnológico de Monterrey celebrated 30 years of history on the topic of digital and distance education, which makes it an academic reference, thanks to its constant concern for innovation. This vocation led our institution to the development of this work full of innovation. Learn more about these 30 years in this book.",Educación ,"[EDU000000] EDUCACIÓN > General
","[JN] > Sociología y Antropología > Educación > Educación > Educación, investigación, temas relacionados


","[370.7] Sociología y Antropología > Educación > Educación > Educación, investigación, temas relacionados
",,Inglés,,,,,0,0.0,No Encontrado,EDUCACIÓN,17.0,1.2890371757896164,0.0
TI00007,Attraction and Development of Human Talent in the Digital Environment,Joohee Kim,2024,,Tecnológico de Monterrey,This book will serve as an encouragement to explore diverse paths towards transformative leadership by exploiting the immense digital potential of younger generations.,Human capital,"[BUS106000] NEGOCIOS ECONÓMICOS > Mentoring y Coaching
","[KJMV2] Gestión de personal y recursos humanos
[VSC] Consejos sobre carreras profesionales y cómo alcanzar el éxito
","[658] Tecnología (ciencias aplicadas) > Gestión y servicios auxiliares > Administración General
",,Inglés,,,,,0,0.0,No Encontrado,NEGOCIOS ECONÓMICOS,21.0,1.3091042453358317,0.0
UBI0002,SOCIAL RESEARCH APPLIED TO ENGLISH LANGUAJE TEACHING,Wilder Yesid Escobar Alméciga,2018,,Universidad El Bosque,"Within the diverse Colombian context, the issues concerning the teaching of english as a foreign language (EFL) call for theories and methodologies entering into the socio-political realms of influence which shape the dynamics of the language-acquisition process. As such, Social Research Applied to english Language Teaching in Colombian Contexts: Theory and Methods takes into consideration a comprehensive analysis of five social phenomena, interpreting their impact, and prompting reflection on alternative strategies for development and growth within the EFL social environment.",EDUCACIÓN; sociología; METODOLOGÍA; INVESTIGACIÓN; CREATIVIDAD; Colombia,SOC026000,CJ,,,Inglés,,,,,0,0.0,No Encontrado,SOC026000,2.0,1.109861228866811,0.0
UBI0037,DISCOURSE ANALYSIS APPLIED TO ENGLISH LANGUAJE TEACHING IN COLOMBIAN CONTEXTS THEORYAND METHODS,Wilder Yesid Escobar Alméciga,2016,,Universidad El Bosque,"By moving away from instrumental views of language, the book Discourse Analysis Applied to english Language Teaching in Colombian Contexts: Theory and Methods situates the teaching and learning of english as a foreign language along a broader spectrum of socio-culturally elaborated discursive dynamics. To offer this complex and multifaceted perspective, it presents five discourse studies informed by diverse methodologies, and aims to provoke further and deeper considerations around the issue of english teaching and learning in Colombian contexts.",EDUCACIÓN; Lemguaje; METODOLOGÍA; INVESTIGACIÓN; CREATIVIDAD; Colombia,[EDU000000] EDUCACIÓN  > General,CJ,,,Inglés,,,,,0,0.0,No Encontrado,EDUCACIÓN,23.0,1.3178053830347949,0.0
UBI0143,"Multiple Perspectives on the Study of Life Biopolitics, Bioethics, Aesthetics",Pierre-Ulysse Barranque; Gustavo Chirolla Ospina; Iglika Christova; Cyprien Coste; Agnès Grivaux; Nuria Homedes; Donna Jung; Lema Habash Nicolas; Jorge Eliécer Martínez; Constanza Ovalle Gómez; Boris Julián Pinto Bustamante,2024,,Universidad El Bosque,,Perspectives; Study; Life; Approaches; Living; Perspectives Required,"[SCI011000] CIENCIA > Ciencias de la vida > Botánica
","[PSA] Ciencias de la vida: cuestiones generales
","[570] Ciencias naturales y matemáticas > Ciencias de la vida > Ciencias de la vida
",,Inglés,,,,,0,0.0,No Encontrado,CIENCIA,16.0,1.2833213344056216,0.0
UEC0244,Foreign Investment between international and domestic law: Translation of Judgement C-252/2019 of the Colombian Constitutional. Court on the bit between France and Colombia,José Manuel Álvarez Zárate; Enrique Prieto-Rios; Magdalena Correa Henao,2020,,Universidad Externado de Colombia,,International investment agreements; International Investment Law; Colombian Constitutional Law,"[LAW021000] LEY > Contratos
","[LBB] Derecho internacional público
","[341.2] Sociología y Antropología > Ley > Ley internacional > La comunidad mundial
",,Inglés,,,,,0,0.0,No Encontrado,LEY,358.0,1.588332238848828,0.0
UI00009,Uma aproximação à história e estado da psicanálise em Moçambique: aspectos teóricos e práticos,FCH,2024,https://doi.org/10.18046/EUI/ee.5.2024,Universidad ICESI,"Este texto Uma aproximação à história e estado da psicanálise em Moçambique representa uma ocasião extraordinária e inusitada, dada a ligação que estabelece com o campo e o estado da psicanálise em Moçambique. Desta forma, permite aproximar-nos de um contexto com o qual o mundo acadêmico latino-americano geralmente mantém uma distância e um desconhecimento acentuados. No caso particular dos temas abordados neste livro a partir de uma diversidade de autores e abordagens, a necessidade de construir laços comunicativos com esses ambientes institucionais e acadêmicos torna-se mais necessária, considerando as coincidências em relação a muitos dos problemas abordados (conflito armado, trauma e violência, por exemplo). Esperamos, então, que esta publicação contribua para aprofundar este tipo de vínculos e permita aos leitores uma aproximação ao estado da psicanálise em Moçambique e às suas implicações para a prática clínica.",,PSY026000 [BISAC]; PSY007000 [BISAC]; PSY055000 [BISAC],,,No aplica,Portugués,https://openalex.org/W4403183851,,,,0,1.0,DOI (Lote),PSY026000 ; PSY007000 ; PSY055000,1.0,1.0693147180559943,0.0
UI00022,Disinformation and Polarization in the Algorithmic Society. Online Hate Speech Trilogy (vol. 1),FCH,2024,https://doi.org/10.18046/EUI/ohst.v1,Universidad ICESI,"This is the first book of the Online Hate Speech Trilogy. It focuses on the relationship between disinformation, political polarisation, and virtual attacks involving toxic language. These phenomena are much more complex than they may initially appear, and they are strongly interrelated with each other in the algorithmic society. The authors analyse the deep origins of hate speech and its manifestations online. They highlight attacks against the LGBTQ+ community in Europe, journalists in Asia, and black politicians in Latin America. Additionally, these researchers examine the crucial role of fact-checking agencies in confronting toxic language and combating hate speech.",,SOC051000 [BISAC]; COM004000 [BISAC]; LAW101000 [BISAC],,,Universidad de Beira Interior,Inglés,https://openalex.org/W4403261438,,,Trilogy; Politics; Polarization (electrochemistry); Political science; Media studies,0,1.0,DOI (Lote),SOC051000 ; COM004000 ; LAW101000,1.0,1.0693147180559943,0.0
UI00023,Legal Challenges and Political Strategies in the Post-Truth Era. Online Hate Speech Trilogy (vol. 2),FNE,2024,https://doi.org/10.18046/EUI/ohst.v2,Universidad ICESI,"This is the second book of the Online Hate Speech Trilogy. The work focuses on the legal challenges of combating toxic language and retaliating against those who spread hate on the Internet. Although the need for fighting violent narratives appears evident, given the role of hate in eroding trust and fragmenting the social fabric, there are many sensitive layers to the matter. The authors analyse the weaknesses of platform self-regulation, the European Union’s legal approach to combating online hate, the use of toxic language as a political weapon in Latin America, and the risks it poses to peace in Africa.",,,,,Universidad de Beira Interior,Inglés,https://openalex.org/W4403314941,,,Trilogy; Politics; Political science; Media studies,0,1.0,DOI (Lote),,,,0.0
UI00024,"Methods, Techniques and AI Solutions in the Age of Hostilities. Online Hate Speech Trilogy (vol. 3)",Editorial,2024,https://doi.org/10.18046/EUI/ohst.v3,Universidad ICESI,"This is the third book in the Online Hate Speech Trilogy. It focuses on presenting methods for detecting, analysing, and combating toxic language on the Internet. Alongside the legal dilemmas born from a desire to punish hate speech disseminators, identifying online hate speech is one of the biggest challenges in the field of studies on violent narratives and virtual attacks. The authors analyse the challenges of identifying violent narratives through automation, the advantages of manually coding social media posts, and the opportunities offered by AI in this field of research.",,,,,Universidad de Beira Interior,Inglés,https://openalex.org/W4403314460,,,Trilogy,0,1.0,DOI (Lote),,,,0.0
UR00448,Autoimmunity. From Bench to Bedside,Juan Manuel Anaya,2013,,Universidad del Rosario,,,,,,,Inglés,,,,,0,0.0,No Encontrado,,,,0.0
UR00847,Introduction to International Court of Justice –ICJ–,Ricardo Abello,2013,,Universidad del Rosario,,,,,,,Inglés,,,,,0,0.0,No Encontrado,,,,0.0
UR01162,The Development of the Agricultural Sector of Colombia into the 1960s,A: Albert Berry,2017,,Universidad del Rosario,,,,,,,Inglés,,,,,0,0.0,No Encontrado,,,,0.0
UAO0066,Water and Energy Engineering for Sustainable Buildings Mihouse Project,Javier Ernesto Holguín González; Yuri Ulianov López Castrillón,2020,,Universidad Autónoma de Occidente,,sustentabilidad; sostenibilidad; arquitectura; ingeniería civil; sustainable buildings; water engineering; energy enginieering,"[ARC018000] ARQUITECTURA > Sostenibilidad y diseño ecológico
[REF020000] REFERENCIA > Investigación
","[AMCR] Arquitectura y diseño respetuosos con el medioambiente (verdes)
[GPS] Métodos de investigación: general
",,No aplica,Inglés,,,,,0,0.0,No Encontrado,ARQUITECTURA,1.0,1.0693147180559943,0.0
UGU0076,"Bioindicators and biomonitoring: water quality control and sample management from La Purisima Dam in the state of Guanajuato, Mexico, involving safety measures against COVID-19 ",Alma Hortensia Serafín Muñoz; Armando Guerrero Aguilar; Cristoph Schüth,2022,,Universidad de Guanajuato,"This handbook is meant to serve as a guideline for researchers for the field and laboratory work required for the hydrochemical and biological monitoring survey of superficial freshwater aquatic ecosystems, such as rivers and reservoirs in the Guanajuato River Basin, but it can also prove useful for projects aiming at assessing aquatic ecosystems in rivers and reservoirs with similar characteristics, using an integrated methodology. Nevertheless, the researcher must ensure that the conditions in the study site are favorable for a biomonitoring program. This work includes an introduction to the concepts of bioindicators and biomonitoring, the applicability of the different existing techniques, a description of the case study areas of the project, as well as the suggested sampling points, the methodology for sample collection, measurement of field and laboratory parameters and data analysis methodologies. The handbook includes a sample record sheet and the instructions on how to carry out a biomonitoring program.",Covid-19; Rivers; Water; Bioindicators; Organisms; Scientific data,"[SCI010000] CIENCIA > Biotecnología
","[TCB] Biotecnología
[RBKF] Limnología (aguas interiores)
","[574.9] Ciencias naturales y matemáticas > Ciencias de la vida > Biología > Tratamiento geográfico de organismos
[553.7] Ciencias naturales y matemáticas > Ciencias de la Tierra > Geología económica > Agua
",No aplica,Inglés,,,,,0,0.0,No Encontrado,CIENCIA,8.0,1.219722457733622,0.0
UGU0136,Women in applied linguistics in Mexico: giving voice to their research ,Martha Lengeling; Edgar Emmanuell García-Ponce; Irasema Mora-Pablo,2023,,Universidad de Guanajuato,"This book consists of six chapters from women who carried out thesis research for their MA in Applied Linguistics in English Language (ELT) degree of the Language Department at the University of Guanajuato. These chapters represent diverse issues in teaching English as a foreign language (EFL) in Mexico and applied linguistics, such as teaching idiomatic expressions, teacher professional identity formation, English medium instruction (EMI) in a polytechnic university, student views of content and language integrated learning (CLIL), translation activities used in an EFL classroom, and the student views of peer mentorship at a graduate level. This collection of chapters offers readers the opportunity to see a condensed version of their theses using qualitative research in the context of Mexico. ",English; Educational theories; Educational transdiscipline; Case studies; Teaching; Language,"[EDU029080] EDUCACIÓN > Métodos y materiales de enseñanza > Artes del lenguaje
[YAN020010] NO FICCIÓN ADULTOS JÓVENES > Estudio de idioma extranjero > Ingles como segundo lenguaje
","[JNU] Enseñanza de una materia específica
[YPC] Enseñanza: lengua, literatura y alfabetización
[YPCK2] Enseñanza, lenguas modernas (no maternas/nativas o segundas): aprendizaje de idiomas
[2ACB] Inglés
","[408.9] Idioma > Generalidades > Tratamiento del lenguaje con respecto a tipos de personas > Tratamiento del lenguaje con respecto a grupos raciales, étnicos y nacionales específicos
",No aplica,Inglés,,,,,0,0.0,No Encontrado,EDUCACIÓN,18.0,1.294443897916644,0.0
ECM0021,Sociologies and the discursive power of religion‪s‬ ,Edgar Zavala Pelayo,2020,,El Colegio de México,"This book is about the counter-intuitive, awkward influence of religion on sociology in Mexico. More generally though, this is a book about societies in different world religions that strive for secularism on the one hand, and yet on the other hand may blend their most revered scientific rationalities with not onlu their pressing moral concerns, but also their most deeply held beliefs. The books offers no prescription for disentangling these apparently incompatible ways of knowing; it instead invites readers to challenge the acepted narratives, and to rethink the taken-for-granted secularism of the social sciences.",,"[SOC039000] CIENCIAS SOCIALES > Sociología de la religión
","[JBSR] Sociedad y ciencias sociales > Sociedad y cultura: general > Grupos sociales > Grupos sociales: grupos y comunidades religiosas
",,No aplica,Inglés,,,,,0,0.0,No Encontrado,CIENCIAS SOCIALES,8.0,1.219722457733622,0.0
ECM0114,Strategic Polarization in Social Media ,Reynaldo Yunuen Ortega Ortiz; Fernando Nieto Morales; Rodrigo Dorantes Gilardi; Cristina I. Sotomayor Vivas,2022,,El Colegio de México,"This book presents the results of a project on political polarization in social media by researchers from El Colegio de México under the auspices of the National Electoral Institute of Mexico. Polarization is a pathological form of distancing and opposition between political alternatives. It can have adverse effects, including institutional paralysis and the abandonment of the democratic debate. It also fosters narratives that justify violations and attacks on democracy. Polarization can be expressed in different ways and in different areas. However, social media networks —such as Twitter— are particularly prone to this phenomenon. This study is one of the first of its type in Mexico. Among the most important findings, we show that communities with similar political identities generate echo chambers in both electoral and non-electoral periods. Experimental evidence also indicates that polarization in social media platforms can have offline effects as it tends to reinforce political identities and mobilize support for or against them.",,,,,No aplica,Inglés,,,,,0,0.0,No Encontrado,,,,0.0
